ID,sentimiento
60458,positivo
60459,positivo
60460,negativo
60461,positivo
60462,positivo
60463,positivo
60464,positivo
60465,negativo
60466,positivo
60467,negativo
60468,negativo
60469,positivo
60470,negativo
60471,positivo
60472,negativo
60473,negativo
60474,negativo
60475,positivo
60476,positivo
60477,negativo
60478,negativo
60479,positivo
60480,negativo
60481,positivo
60482,negativo
60483,negativo
60484,negativo
60485,positivo
60486,positivo
60487,positivo
60488,negativo
60489,positivo
60490,positivo
60491,positivo
60492,negativo
60493,negativo
60494,negativo
60495,positivo
60496,positivo
60497,negativo
60498,positivo
60499,negativo
60500,negativo
60501,positivo
60502,negativo
60503,positivo
60504,negativo
60505,positivo
60506,positivo
60507,positivo
60508,negativo
60509,positivo
60510,negativo
60511,negativo
60512,positivo
60513,negativo
60514,negativo
60515,negativo
60516,positivo
60517,positivo
60518,positivo
60519,positivo
60520,negativo
60521,negativo
60522,negativo
60523,positivo
60524,negativo
60525,positivo
60526,negativo
60527,positivo
60528,positivo
60529,negativo
60530,negativo
60531,positivo
60532,negativo
60533,positivo
60534,positivo
60535,positivo
60536,positivo
60537,positivo
60538,negativo
60539,positivo
60540,negativo
60541,negativo
60542,positivo
60543,negativo
60544,negativo
60545,positivo
60546,positivo
60547,positivo
60548,negativo
60549,negativo
60550,negativo
60551,negativo
60552,negativo
60553,positivo
60554,negativo
60555,positivo
60556,positivo
60557,negativo
60558,negativo
60559,positivo
60560,positivo
60561,positivo
60562,positivo
60563,positivo
60564,positivo
60565,positivo
60566,positivo
60567,negativo
60568,positivo
60569,positivo
60570,negativo
60571,positivo
60572,positivo
60573,positivo
60574,positivo
60575,positivo
60576,positivo
60577,positivo
60578,negativo
60579,negativo
60580,positivo
60581,positivo
60582,negativo
60583,negativo
60584,positivo
60585,positivo
60586,positivo
60587,positivo
60588,negativo
60589,positivo
60590,positivo
60591,positivo
60592,negativo
60593,negativo
60594,negativo
60595,positivo
60596,positivo
60597,positivo
60598,negativo
60599,positivo
60600,negativo
60601,positivo
60602,positivo
60603,negativo
60604,positivo
60605,positivo
60606,negativo
60607,positivo
60608,negativo
60609,negativo
60610,positivo
60611,positivo
60612,positivo
60613,negativo
60614,positivo
60615,positivo
60616,positivo
60617,positivo
60618,positivo
60619,positivo
60620,positivo
60621,negativo
60622,negativo
60623,positivo
60624,positivo
60625,positivo
60626,positivo
60627,positivo
60628,positivo
60629,negativo
60630,positivo
60631,positivo
60632,positivo
60633,negativo
60634,negativo
60635,positivo
60636,positivo
60637,positivo
60638,negativo
60639,positivo
60640,negativo
60641,negativo
60642,positivo
60643,positivo
60644,negativo
60645,negativo
60646,positivo
60647,positivo
60648,negativo
60649,positivo
60650,negativo
60651,negativo
60652,negativo
60653,positivo
60654,negativo
60655,positivo
60656,positivo
60657,negativo
60658,negativo
60659,positivo
60660,positivo
60661,negativo
60662,negativo
60663,positivo
60664,positivo
60665,positivo
60666,positivo
60667,negativo
60668,positivo
60669,negativo
60670,negativo
60671,negativo
60672,negativo
60673,positivo
60674,positivo
60675,positivo
60676,negativo
60677,positivo
60678,positivo
60679,positivo
60680,negativo
60681,positivo
60682,positivo
60683,positivo
60684,positivo
60685,negativo
60686,positivo
60687,negativo
60688,positivo
60689,positivo
60690,negativo
60691,negativo
60692,negativo
60693,positivo
60694,positivo
60695,positivo
60696,positivo
60697,positivo
60698,negativo
60699,negativo
60700,positivo
60701,negativo
60702,positivo
60703,negativo
60704,positivo
60705,negativo
60706,positivo
60707,positivo
60708,negativo
60709,positivo
60710,positivo
60711,negativo
60712,negativo
60713,negativo
60714,positivo
60715,positivo
60716,negativo
60717,negativo
60718,positivo
60719,negativo
60720,positivo
60721,negativo
60722,negativo
60723,negativo
60724,negativo
60725,positivo
60726,positivo
60727,positivo
60728,negativo
60729,positivo
60730,negativo
60731,positivo
60732,positivo
60733,negativo
60734,negativo
60735,negativo
60736,positivo
60737,negativo
60738,positivo
60739,negativo
60740,negativo
60741,negativo
60742,positivo
60743,positivo
60744,positivo
60745,negativo
60746,positivo
60747,positivo
60748,negativo
60749,positivo
60750,positivo
60751,positivo
60752,positivo
60753,negativo
60754,negativo
60755,negativo
60756,negativo
60757,negativo
60758,positivo
60759,positivo
60760,negativo
60761,positivo
60762,positivo
60763,positivo
60764,negativo
60765,negativo
60766,negativo
60767,negativo
60768,positivo
60769,positivo
60770,positivo
60771,positivo
60772,positivo
60773,negativo
60774,positivo
60775,positivo
60776,negativo
60777,positivo
60778,negativo
60779,positivo
60780,positivo
60781,positivo
60782,negativo
60783,positivo
60784,positivo
60785,positivo
60786,negativo
60787,negativo
60788,positivo
60789,negativo
60790,negativo
60791,negativo
60792,positivo
60793,negativo
60794,positivo
60795,positivo
60796,positivo
60797,positivo
60798,positivo
60799,positivo
60800,negativo
60801,negativo
60802,negativo
60803,negativo
60804,negativo
60805,positivo
60806,negativo
60807,positivo
60808,positivo
60809,positivo
60810,negativo
60811,positivo
60812,positivo
60813,positivo
60814,positivo
60815,positivo
60816,positivo
60817,positivo
60818,negativo
60819,positivo
60820,negativo
60821,negativo
60822,positivo
60823,negativo
60824,positivo
60825,positivo
60826,negativo
60827,positivo
60828,negativo
60829,negativo
60830,positivo
60831,positivo
60832,positivo
60833,positivo
60834,positivo
60835,positivo
60836,negativo
60837,negativo
60838,positivo
60839,negativo
60840,negativo
60841,negativo
60842,positivo
60843,negativo
60844,negativo
60845,positivo
60846,positivo
60847,positivo
60848,positivo
60849,positivo
60850,negativo
60851,positivo
60852,positivo
60853,positivo
60854,negativo
60855,positivo
60856,negativo
60857,positivo
60858,positivo
60859,negativo
60860,negativo
60861,negativo
60862,negativo
60863,positivo
60864,negativo
60865,negativo
60866,negativo
60867,positivo
60868,positivo
60869,negativo
60870,positivo
60871,negativo
60872,negativo
60873,positivo
60874,positivo
60875,negativo
60876,positivo
60877,positivo
60878,positivo
60879,negativo
60880,positivo
60881,positivo
60882,negativo
60883,positivo
60884,positivo
60885,negativo
60886,negativo
60887,negativo
60888,negativo
60889,positivo
60890,negativo
60891,positivo
60892,negativo
60893,positivo
60894,positivo
60895,positivo
60896,positivo
60897,negativo
60898,positivo
60899,positivo
60900,positivo
60901,positivo
60902,positivo
60903,positivo
60904,negativo
60905,negativo
60906,negativo
60907,negativo
60908,positivo
60909,positivo
60910,positivo
60911,positivo
60912,positivo
60913,negativo
60914,positivo
60915,negativo
60916,positivo
60917,negativo
60918,negativo
60919,negativo
60920,negativo
60921,positivo
60922,positivo
60923,positivo
60924,positivo
60925,positivo
60926,negativo
60927,negativo
60928,positivo
60929,negativo
60930,negativo
60931,positivo
60932,negativo
60933,negativo
60934,positivo
60935,positivo
60936,negativo
60937,positivo
60938,positivo
60939,positivo
60940,positivo
60941,negativo
60942,negativo
60943,negativo
60944,negativo
60945,negativo
60946,negativo
60947,positivo
60948,negativo
60949,positivo
60950,negativo
60951,positivo
60952,positivo
60953,negativo
60954,negativo
60955,positivo
60956,negativo
60957,negativo
60958,negativo
60959,positivo
60960,positivo
60961,negativo
60962,negativo
60963,negativo
60964,positivo
60965,negativo
60966,negativo
60967,negativo
60968,positivo
60969,negativo
60970,negativo
60971,negativo
60972,positivo
60973,positivo
60974,positivo
60975,negativo
60976,negativo
60977,negativo
60978,negativo
60979,negativo
60980,positivo
60981,negativo
60982,negativo
60983,positivo
60984,positivo
60985,positivo
60986,negativo
60987,positivo
60988,positivo
60989,negativo
60990,positivo
60991,negativo
60992,negativo
60993,positivo
60994,positivo
60995,negativo
60996,negativo
60997,positivo
60998,negativo
60999,negativo
61000,positivo
61001,negativo
61002,negativo
61003,negativo
61004,positivo
61005,negativo
61006,negativo
61007,positivo
61008,positivo
61009,negativo
61010,negativo
61011,negativo
61012,positivo
61013,negativo
61014,negativo
61015,positivo
61016,negativo
61017,positivo
61018,positivo
61019,positivo
61020,negativo
61021,positivo
61022,negativo
61023,positivo
61024,positivo
61025,negativo
61026,negativo
61027,positivo
61028,positivo
61029,positivo
61030,positivo
61031,positivo
61032,positivo
61033,negativo
61034,positivo
61035,negativo
61036,negativo
61037,positivo
61038,positivo
61039,positivo
61040,positivo
61041,positivo
61042,negativo
61043,positivo
61044,positivo
61045,negativo
61046,negativo
61047,negativo
61048,negativo
61049,positivo
61050,negativo
61051,positivo
61052,negativo
61053,negativo
61054,positivo
61055,positivo
61056,positivo
61057,positivo
61058,negativo
61059,positivo
61060,positivo
61061,positivo
61062,negativo
61063,negativo
61064,positivo
61065,positivo
61066,positivo
61067,negativo
61068,positivo
61069,negativo
61070,positivo
61071,positivo
61072,positivo
61073,positivo
61074,positivo
61075,negativo
61076,positivo
61077,positivo
61078,positivo
61079,positivo
61080,positivo
61081,positivo
61082,negativo
61083,negativo
61084,positivo
61085,negativo
61086,positivo
61087,negativo
61088,positivo
61089,positivo
61090,negativo
61091,positivo
61092,positivo
61093,negativo
61094,positivo
61095,negativo
61096,negativo
61097,positivo
61098,positivo
61099,positivo
61100,negativo
61101,negativo
61102,positivo
61103,positivo
61104,positivo
61105,negativo
61106,negativo
61107,positivo
61108,positivo
61109,positivo
61110,positivo
61111,positivo
61112,negativo
61113,negativo
61114,negativo
61115,positivo
61116,positivo
61117,positivo
61118,positivo
61119,positivo
61120,positivo
61121,negativo
61122,negativo
61123,positivo
61124,negativo
61125,negativo
61126,negativo
61127,negativo
61128,positivo
61129,positivo
61130,positivo
61131,positivo
61132,negativo
61133,positivo
61134,negativo
61135,positivo
61136,positivo
61137,positivo
61138,positivo
61139,positivo
61140,positivo
61141,positivo
61142,positivo
61143,negativo
61144,negativo
61145,positivo
61146,negativo
61147,positivo
61148,positivo
61149,positivo
61150,positivo
61151,positivo
61152,positivo
61153,negativo
61154,negativo
61155,negativo
61156,positivo
61157,negativo
61158,positivo
61159,positivo
61160,positivo
61161,negativo
61162,negativo
61163,negativo
61164,negativo
61165,positivo
61166,negativo
61167,positivo
61168,positivo
61169,positivo
61170,positivo
61171,positivo
61172,positivo
61173,negativo
61174,negativo
61175,positivo
61176,positivo
61177,negativo
61178,negativo
61179,negativo
61180,negativo
61181,negativo
61182,positivo
61183,negativo
61184,positivo
61185,positivo
61186,positivo
61187,positivo
61188,positivo
61189,negativo
61190,positivo
61191,negativo
61192,negativo
61193,positivo
61194,negativo
61195,negativo
61196,positivo
61197,positivo
61198,negativo
61199,negativo
61200,positivo
61201,negativo
61202,positivo
61203,positivo
61204,positivo
61205,negativo
61206,positivo
61207,positivo
61208,negativo
61209,positivo
61210,positivo
61211,negativo
61212,positivo
61213,negativo
61214,positivo
61215,positivo
61216,positivo
61217,positivo
61218,negativo
61219,negativo
61220,negativo
61221,negativo
61222,positivo
61223,positivo
61224,negativo
61225,negativo
61226,negativo
61227,negativo
61228,negativo
61229,positivo
61230,positivo
61231,negativo
61232,positivo
61233,negativo
61234,positivo
61235,positivo
61236,negativo
61237,negativo
61238,negativo
61239,positivo
61240,negativo
61241,positivo
61242,negativo
61243,negativo
61244,negativo
61245,positivo
61246,negativo
61247,negativo
61248,negativo
61249,positivo
61250,positivo
61251,negativo
61252,negativo
61253,negativo
61254,positivo
61255,negativo
61256,positivo
61257,negativo
61258,positivo
61259,positivo
61260,positivo
61261,negativo
61262,positivo
61263,positivo
61264,negativo
61265,positivo
61266,positivo
61267,negativo
61268,negativo
61269,positivo
61270,positivo
61271,negativo
61272,positivo
61273,positivo
61274,positivo
61275,positivo
61276,positivo
61277,positivo
61278,positivo
61279,positivo
61280,negativo
61281,negativo
61282,negativo
61283,positivo
61284,negativo
61285,negativo
61286,negativo
61287,positivo
61288,negativo
61289,positivo
61290,negativo
61291,positivo
61292,positivo
61293,positivo
61294,positivo
61295,negativo
61296,negativo
61297,negativo
61298,negativo
61299,positivo
61300,positivo
61301,positivo
61302,positivo
61303,positivo
61304,positivo
61305,positivo
61306,positivo
61307,negativo
61308,positivo
61309,negativo
61310,positivo
61311,positivo
61312,negativo
61313,positivo
61314,negativo
61315,positivo
61316,negativo
61317,positivo
61318,positivo
61319,negativo
61320,positivo
61321,positivo
61322,positivo
61323,positivo
61324,positivo
61325,positivo
61326,positivo
61327,negativo
61328,positivo
61329,negativo
61330,positivo
61331,negativo
61332,positivo
61333,positivo
61334,negativo
61335,positivo
61336,negativo
61337,positivo
61338,negativo
61339,positivo
61340,negativo
61341,positivo
61342,negativo
61343,positivo
61344,negativo
61345,negativo
61346,negativo
61347,positivo
61348,positivo
61349,positivo
61350,negativo
61351,negativo
61352,negativo
61353,positivo
61354,positivo
61355,negativo
61356,negativo
61357,positivo
61358,negativo
61359,negativo
61360,positivo
61361,negativo
61362,positivo
61363,positivo
61364,positivo
61365,positivo
61366,negativo
61367,positivo
61368,negativo
61369,negativo
61370,positivo
61371,positivo
61372,positivo
61373,negativo
61374,negativo
61375,negativo
61376,positivo
61377,positivo
61378,negativo
61379,positivo
61380,positivo
61381,positivo
61382,negativo
61383,negativo
61384,negativo
61385,negativo
61386,positivo
61387,negativo
61388,positivo
61389,negativo
61390,positivo
61391,positivo
61392,positivo
61393,positivo
61394,negativo
61395,positivo
61396,negativo
61397,negativo
61398,positivo
61399,positivo
61400,negativo
61401,positivo
61402,negativo
61403,positivo
61404,negativo
61405,negativo
61406,positivo
61407,positivo
61408,negativo
61409,positivo
61410,positivo
61411,positivo
61412,negativo
61413,negativo
61414,negativo
61415,negativo
61416,positivo
61417,positivo
61418,positivo
61419,positivo
61420,positivo
61421,positivo
61422,negativo
61423,positivo
61424,positivo
61425,positivo
61426,positivo
61427,negativo
61428,positivo
61429,positivo
61430,positivo
61431,negativo
61432,positivo
61433,negativo
61434,negativo
61435,positivo
61436,negativo
61437,positivo
61438,negativo
61439,negativo
61440,positivo
61441,negativo
61442,positivo
61443,negativo
61444,positivo
61445,positivo
61446,positivo
61447,negativo
61448,negativo
61449,negativo
61450,positivo
61451,positivo
61452,positivo
61453,negativo
61454,negativo
61455,negativo
61456,negativo
61457,positivo
61458,positivo
61459,positivo
61460,positivo
61461,positivo
61462,negativo
61463,negativo
61464,negativo
61465,negativo
61466,positivo
61467,negativo
61468,positivo
61469,positivo
61470,positivo
61471,negativo
61472,positivo
61473,negativo
61474,negativo
61475,negativo
61476,positivo
61477,positivo
61478,negativo
61479,positivo
61480,positivo
61481,positivo
61482,positivo
61483,negativo
61484,negativo
61485,positivo
61486,positivo
61487,positivo
61488,negativo
61489,negativo
61490,negativo
61491,positivo
61492,positivo
61493,positivo
61494,negativo
61495,positivo
61496,positivo
61497,positivo
61498,negativo
61499,negativo
61500,positivo
61501,positivo
61502,negativo
61503,negativo
61504,positivo
61505,negativo
61506,negativo
61507,positivo
61508,negativo
61509,positivo
61510,positivo
61511,positivo
61512,negativo
61513,positivo
61514,negativo
61515,positivo
61516,negativo
61517,positivo
61518,negativo
61519,positivo
61520,negativo
61521,positivo
61522,positivo
61523,positivo
61524,negativo
61525,positivo
61526,negativo
61527,negativo
61528,positivo
61529,positivo
61530,positivo
61531,positivo
61532,positivo
61533,positivo
61534,negativo
61535,negativo
61536,negativo
61537,positivo
61538,positivo
61539,negativo
61540,positivo
61541,positivo
61542,positivo
61543,positivo
61544,negativo
61545,positivo
61546,positivo
61547,positivo
61548,positivo
61549,negativo
61550,negativo
61551,positivo
61552,negativo
61553,negativo
61554,negativo
61555,positivo
61556,positivo
61557,negativo
61558,negativo
61559,positivo
61560,positivo
61561,negativo
61562,positivo
61563,positivo
61564,positivo
61565,positivo
61566,positivo
61567,positivo
61568,positivo
61569,positivo
61570,negativo
61571,positivo
61572,positivo
61573,positivo
61574,positivo
61575,positivo
61576,negativo
61577,negativo
61578,negativo
61579,positivo
61580,positivo
61581,negativo
61582,negativo
61583,positivo
61584,positivo
61585,positivo
61586,positivo
61587,positivo
61588,negativo
61589,negativo
61590,negativo
61591,negativo
61592,positivo
61593,negativo
61594,negativo
61595,negativo
61596,negativo
61597,positivo
61598,positivo
61599,positivo
61600,positivo
61601,positivo
61602,positivo
61603,positivo
61604,negativo
61605,positivo
61606,positivo
61607,positivo
61608,positivo
61609,negativo
61610,negativo
61611,negativo
61612,negativo
61613,negativo
61614,negativo
61615,positivo
61616,negativo
61617,positivo
61618,negativo
61619,positivo
61620,negativo
61621,positivo
61622,negativo
61623,positivo
61624,positivo
61625,negativo
61626,negativo
61627,negativo
61628,positivo
61629,positivo
61630,negativo
61631,positivo
61632,positivo
61633,negativo
61634,negativo
61635,negativo
61636,negativo
61637,negativo
61638,negativo
61639,positivo
61640,negativo
61641,negativo
61642,negativo
61643,negativo
61644,positivo
61645,negativo
61646,negativo
61647,positivo
61648,positivo
61649,positivo
61650,positivo
61651,negativo
61652,positivo
61653,positivo
61654,positivo
61655,positivo
61656,negativo
61657,positivo
61658,positivo
61659,negativo
61660,negativo
61661,positivo
61662,negativo
61663,negativo
61664,negativo
61665,negativo
61666,positivo
61667,positivo
61668,negativo
61669,positivo
61670,positivo
61671,positivo
61672,positivo
61673,positivo
61674,positivo
61675,positivo
61676,positivo
61677,positivo
61678,negativo
61679,positivo
61680,negativo
61681,negativo
61682,positivo
61683,positivo
61684,negativo
61685,positivo
61686,negativo
61687,positivo
61688,negativo
61689,positivo
61690,negativo
61691,positivo
61692,positivo
61693,positivo
61694,negativo
61695,positivo
61696,positivo
61697,positivo
61698,positivo
61699,negativo
61700,negativo
61701,negativo
61702,negativo
61703,positivo
61704,positivo
61705,positivo
61706,positivo
61707,positivo
61708,positivo
61709,positivo
61710,positivo
61711,positivo
61712,positivo
61713,positivo
61714,negativo
61715,positivo
61716,negativo
61717,positivo
61718,negativo
61719,positivo
61720,negativo
61721,positivo
61722,positivo
61723,negativo
61724,positivo
61725,positivo
61726,negativo
61727,positivo
61728,positivo
61729,negativo
61730,positivo
61731,negativo
61732,negativo
61733,negativo
61734,negativo
61735,negativo
61736,negativo
61737,positivo
61738,negativo
61739,positivo
61740,positivo
61741,negativo
61742,negativo
61743,positivo
61744,negativo
61745,positivo
61746,negativo
61747,negativo
61748,positivo
61749,negativo
61750,positivo
61751,negativo
61752,positivo
61753,negativo
61754,positivo
61755,positivo
61756,negativo
61757,positivo
61758,negativo
61759,negativo
61760,positivo
61761,negativo
61762,positivo
61763,negativo
61764,positivo
61765,negativo
61766,positivo
61767,positivo
61768,positivo
61769,negativo
61770,positivo
61771,positivo
61772,positivo
61773,positivo
61774,positivo
61775,positivo
61776,positivo
61777,positivo
61778,positivo
61779,positivo
61780,positivo
61781,negativo
61782,negativo
61783,positivo
61784,positivo
61785,positivo
61786,negativo
61787,positivo
61788,positivo
61789,negativo
61790,positivo
61791,positivo
61792,negativo
61793,positivo
61794,positivo
61795,negativo
61796,positivo
61797,positivo
61798,negativo
61799,negativo
61800,negativo
61801,negativo
61802,negativo
61803,positivo
61804,negativo
61805,positivo
61806,negativo
61807,positivo
61808,positivo
61809,positivo
61810,positivo
61811,positivo
61812,positivo
61813,negativo
61814,negativo
61815,positivo
61816,negativo
61817,negativo
61818,positivo
61819,negativo
61820,positivo
61821,positivo
61822,negativo
61823,positivo
61824,positivo
61825,negativo
61826,positivo
61827,negativo
61828,negativo
61829,negativo
61830,positivo
61831,negativo
61832,positivo
61833,negativo
61834,negativo
61835,positivo
61836,positivo
61837,negativo
61838,positivo
61839,negativo
61840,positivo
61841,positivo
61842,positivo
61843,positivo
61844,positivo
61845,negativo
61846,positivo
61847,negativo
61848,negativo
61849,positivo
61850,negativo
61851,negativo
61852,negativo
61853,negativo
61854,positivo
61855,positivo
61856,negativo
61857,positivo
61858,positivo
61859,positivo
61860,negativo
61861,positivo
61862,negativo
61863,positivo
61864,negativo
61865,negativo
61866,positivo
61867,positivo
61868,negativo
61869,positivo
61870,negativo
61871,negativo
61872,positivo
61873,negativo
61874,positivo
61875,positivo
61876,positivo
61877,negativo
61878,positivo
61879,negativo
61880,positivo
61881,negativo
61882,positivo
61883,negativo
61884,positivo
61885,positivo
61886,positivo
61887,negativo
61888,negativo
61889,negativo
61890,negativo
61891,positivo
61892,positivo
61893,positivo
61894,negativo
61895,positivo
61896,negativo
61897,positivo
61898,negativo
61899,positivo
61900,negativo
61901,positivo
61902,positivo
61903,positivo
61904,negativo
61905,positivo
61906,negativo
61907,positivo
61908,positivo
61909,negativo
61910,positivo
61911,negativo
61912,positivo
61913,positivo
61914,positivo
61915,positivo
61916,negativo
61917,negativo
61918,negativo
61919,positivo
61920,negativo
61921,positivo
61922,negativo
61923,positivo
61924,positivo
61925,negativo
61926,negativo
61927,negativo
61928,negativo
61929,negativo
61930,negativo
61931,positivo
61932,positivo
61933,negativo
61934,positivo
61935,positivo
61936,positivo
61937,positivo
61938,negativo
61939,positivo
61940,positivo
61941,positivo
61942,positivo
61943,negativo
61944,negativo
61945,positivo
61946,positivo
61947,negativo
61948,positivo
61949,positivo
61950,positivo
61951,positivo
61952,positivo
61953,negativo
61954,positivo
61955,positivo
61956,negativo
61957,positivo
61958,positivo
61959,negativo
61960,positivo
61961,positivo
61962,positivo
61963,positivo
61964,negativo
61965,positivo
61966,positivo
61967,positivo
61968,negativo
61969,positivo
61970,positivo
61971,positivo
61972,positivo
61973,positivo
61974,negativo
61975,negativo
61976,negativo
61977,positivo
61978,positivo
61979,positivo
61980,negativo
61981,positivo
61982,positivo
61983,positivo
61984,negativo
61985,positivo
61986,positivo
61987,negativo
61988,positivo
61989,negativo
61990,negativo
61991,positivo
61992,positivo
61993,positivo
61994,negativo
61995,positivo
61996,positivo
